timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1498028007985,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-26,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028007985,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-26,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008083,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-27,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008084,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-27,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008182,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-28,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008183,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-28,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008282,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-29,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008283,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-29,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008382,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-30,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008384,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-30,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008484,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-31,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008485,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-31,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008582,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-32,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008583,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-32,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008682,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-33,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008683,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-33,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008782,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-34,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008783,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-34,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
1498028008882,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.baidu.com]/,TestGroup 1-35,text,false,Test failed: text expected to contain /百度一下/,1167,0,1,1,0,0,0
1498028008882,0,HTTP请求,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Expected closing bracket for IPv6 address at index 13: http://[http://www.hsw.cn/]/,TestGroup 1-35,text,false,Test failed: text expected to contain /华商网/,1165,0,1,1,0,0,0
